paper_id,ebv_score,main_evidence,appendix_evidence
0073cc73e1873b35345209b50a3dab66-Paper-Conference,0.88,44,0
00296c0e10cd24d415c2db63ea2a2c68-Paper-Conference,0.56,28,0
00bb4e415ef117f2dee2fc3b778d806d-Paper-Conference,0.22,1,25
001608167bb652337af5df0129aeaabd-Paper-Conference,0.736,28,22
007f4927e60699392425f267d43f0940-Paper-Conference,0.176,0,22
0001ca33ba34ce0351e4612b744b3936-Paper-Conference,0.648,26,16
00db17c36b5435195760520efa96d99c-Paper-Conference,1.0,46,251
002262941c9edfd472a79298b2ac5e17-Paper-Conference,1.0,45,19
00b67df24009747e8bbed4c2c6f9c825-Paper-Conference,0.044,1,3
0021c2cb1b9b6a71ac478ea52a93b25a-Paper-Conference,1.0,62,0
